Compressive strength of cement fce(MPa),Tensile strength of cement fct(MPa),Curing age (day),Dmax of Crushed stone (mm),Stone powder content in Sand (%),Fineness modulus of sand,W/B,Water to cement ratio mw/mc,Water (kg/m3),Sand ratio (%),Slump (mm),"Compressive strength
fcu,t
(MPa)","Splitting tensile strength fst,t(MPa)"
46.8,8,3,31.5,5,3.34,0.56,0.56,180,44,50,32.5,1.18
46.8,8,3,31.5,9,3.27,0.56,0.56,180,44,70,28.7,1.13
46.8,8,3,31.5,13,2.77,0.56,0.56,180,44,50,28.5,1.56
46.8,8,7,31.5,5,3.34,0.56,0.56,180,44,50,33.5,1.39
46.8,8,7,31.5,9,3.27,0.56,0.56,180,44,70,34.9,1.38
46.8,8,7,31.5,13,2.77,0.56,0.56,180,44,50,34.7,1.42
46.8,8,14,31.5,5,3.34,0.56,0.56,180,44,50,39.7,2.62
46.8,8,14,31.5,9,3.27,0.56,0.56,180,44,70,38.9,3.05
46.8,8,14,31.5,13,2.77,0.56,0.56,180,44,50,37,2.31
46.8,8,28,31.5,5,3.34,0.56,0.56,180,44,50,41.2,3.02
46.8,8,28,31.5,9,3.27,0.56,0.56,180,44,70,41.3,3.75
46.8,8,28,31.5,13,2.77,0.56,0.56,180,44,50,40.5,3.01
46.8,8,42,31.5,5,3.34,0.56,0.56,180,44,50,42,3.31
46.8,8,42,31.5,9,3.27,0.56,0.56,180,44,70,41.8,3.82
46.8,8,42,31.5,13,2.77,0.56,0.56,180,44,50,42.3,3.43
46.8,8,56,31.5,5,3.34,0.56,0.56,180,44,50,43.8,3.73
46.8,8,56,31.5,9,3.27,0.56,0.56,180,44,70,42.4,3.99
46.8,8,56,31.5,13,2.77,0.56,0.56,180,44,50,45,3.68
46.8,8,84,31.5,5,3.34,0.56,0.56,180,44,50,47.4,4.42
46.8,8,84,31.5,9,3.27,0.56,0.56,180,44,70,48.8,4.21
46.8,8,84,31.5,13,2.77,0.56,0.56,180,44,50,48,4.48
46.8,8,118,31.5,5,3.34,0.56,0.56,180,44,50,48.9,4.37
46.8,8,118,31.5,9,3.27,0.56,0.56,180,44,70,49.3,4.03
46.8,8,118,31.5,13,2.77,0.56,0.56,180,44,50,48.7,4.41
46.8,8,178,31.5,5,3.34,0.56,0.56,180,44,50,49.7,4.68
46.8,8,178,31.5,9,3.27,0.56,0.56,180,44,70,51.9,4.22
46.8,8,178,31.5,13,2.77,0.56,0.56,180,44,50,49.9,4.42
46.8,8,238,31.5,5,3.34,0.56,0.56,180,44,50,51.1,4.22
46.8,8,238,31.5,9,3.27,0.56,0.56,180,44,70,55.4,3.92
46.8,8,238,31.5,13,2.77,0.56,0.56,180,44,50,54.5,4.12
46.8,8,298,31.5,5,3.34,0.56,0.56,180,44,50,51.2,4.36
46.8,8,298,31.5,9,3.27,0.56,0.56,180,44,70,56.2,4.05
46.8,8,298,31.5,13,2.77,0.56,0.56,180,44,50,54.8,4.23
46.8,8,358,31.5,5,3.34,0.56,0.56,180,44,50,51.6,4.41
46.8,8,358,31.5,9,3.27,0.56,0.56,180,44,70,56.4,4.22
46.8,8,358,31.5,13,2.77,0.56,0.56,180,44,50,55.1,4.32
46.8,8,3,31.5,5,3.34,0.45,0.45,180,36,110,38.4,2.67
46.8,8,3,31.5,9,3.27,0.45,0.45,180,36,160,38,2.61
46.8,8,3,31.5,13,2.77,0.45,0.45,180,36,45,38.1,2.71
46.8,8,7,31.5,5,3.34,0.45,0.45,180,36,110,42.2,2.81
46.8,8,7,31.5,9,3.27,0.45,0.45,180,36,160,42.3,3.02
46.8,8,7,31.5,13,2.77,0.45,0.45,180,36,45,41.7,2.95
46.8,8,14,31.5,5,3.34,0.45,0.45,180,36,110,44.9,3.06
46.8,8,14,31.5,9,3.27,0.45,0.45,180,36,160,44.8,3.05
46.8,8,14,31.5,13,2.77,0.45,0.45,180,36,45,44.2,3.01
46.8,8,28,31.5,5,3.34,0.45,0.45,180,36,110,54.2,3.46
46.8,8,28,31.5,9,3.27,0.45,0.45,180,36,160,50.9,3.19
46.8,8,28,31.5,13,2.77,0.45,0.45,180,36,45,51.5,3.37
46.8,8,35,31.5,5,3.34,0.45,0.45,180,36,110,51.6,3.49
46.8,8,35,31.5,9,3.27,0.45,0.45,180,36,160,52.3,3.34
46.8,8,35,31.5,13,2.77,0.45,0.45,180,36,45,52.6,3.43
46.8,8,42,31.5,5,3.34,0.45,0.45,180,36,110,53.7,3.54
46.8,8,42,31.5,9,3.27,0.45,0.45,180,36,160,53.6,3.67
46.8,8,42,31.5,13,2.77,0.45,0.45,180,36,45,54,3.56
46.8,8,56,31.5,5,3.34,0.45,0.45,180,36,110,54.2,3.96
46.8,8,56,31.5,9,3.27,0.45,0.45,180,36,160,54.3,3.81
46.8,8,56,31.5,13,2.77,0.45,0.45,180,36,45,56,3.76
46.8,8,70,31.5,5,3.34,0.45,0.45,180,36,110,55.3,4.12
46.8,8,70,31.5,9,3.27,0.45,0.45,180,36,160,55,3.86
46.8,8,70,31.5,13,2.77,0.45,0.45,180,36,45,56.5,3.78
46.8,8,84,31.5,5,3.34,0.45,0.45,180,36,110,56.5,4.32
46.8,8,84,31.5,9,3.27,0.45,0.45,180,36,160,58.3,4.27
46.8,8,84,31.5,13,2.77,0.45,0.45,180,36,45,57,4.48
46.8,8,98,31.5,5,3.34,0.45,0.45,180,36,110,58,4.47
46.8,8,98,31.5,9,3.27,0.45,0.45,180,36,160,58.8,4.31
46.8,8,98,31.5,13,2.77,0.45,0.45,180,36,45,57.2,4.52
46.8,8,118,31.5,5,3.34,0.45,0.45,180,36,110,59.7,4.61
46.8,8,118,31.5,9,3.27,0.45,0.45,180,36,160,63.7,4.38
46.8,8,118,31.5,13,2.77,0.45,0.45,180,36,45,63,4.48
46.8,8,148,31.5,5,3.34,0.45,0.45,180,36,110,62.4,4.47
46.8,8,148,31.5,9,3.27,0.45,0.45,180,36,160,64.1,4.27
46.8,8,148,31.5,13,2.77,0.45,0.45,180,36,45,65,4.69
46.8,8,178,31.5,5,3.34,0.45,0.45,180,36,110,63.1,4.45
46.8,8,178,31.5,9,3.27,0.45,0.45,180,36,160,64.3,4.07
46.8,8,178,31.5,13,2.77,0.45,0.45,180,36,45,66.2,4.29
46.8,8,208,31.5,5,3.34,0.45,0.45,180,36,110,63.6,4.32
46.8,8,208,31.5,9,3.27,0.45,0.45,180,36,160,65.1,4.41
46.8,8,208,31.5,13,2.77,0.45,0.45,180,36,45,67,4.31
46.8,8,238,31.5,5,3.34,0.45,0.45,180,36,110,64.4,4.26
46.8,8,238,31.5,9,3.27,0.45,0.45,180,36,160,67.8,4.09
46.8,8,238,31.5,13,2.77,0.45,0.45,180,36,45,68.7,4.24
46.8,8,268,31.5,5,3.34,0.45,0.45,180,36,110,65.4,4.19
46.8,8,268,31.5,9,3.27,0.45,0.45,180,36,160,68.3,4.29
46.8,8,268,31.5,13,2.77,0.45,0.45,180,36,45,69.2,4.25
46.8,8,298,31.5,5,3.34,0.45,0.45,180,36,110,67.1,4.21
46.8,8,298,31.5,9,3.27,0.45,0.45,180,36,160,70.8,4.04
46.8,8,298,31.5,13,2.77,0.45,0.45,180,36,45,71.2,4.35
46.8,8,328,31.5,5,3.34,0.45,0.45,180,36,110,67.6,4.43
46.8,8,328,31.5,9,3.27,0.45,0.45,180,36,160,71.1,4.11
46.8,8,328,31.5,13,2.77,0.45,0.45,180,36,45,71.4,4.3
46.8,8,358,31.5,5,3.34,0.45,0.45,180,36,110,67.8,4.45
46.8,8,358,31.5,9,3.27,0.45,0.45,180,36,160,71.5,4.22
46.8,8,358,31.5,13,2.77,0.45,0.45,180,36,45,72,4.35
46.8,8,388,31.5,5,3.34,0.45,0.45,180,36,110,68.2,4.52
46.8,8,388,31.5,9,3.27,0.45,0.45,180,36,160,71.9,4.31
46.8,8,388,31.5,13,2.77,0.45,0.45,180,36,45,72.4,4.41
46.8,8,3,31.5,5,3.34,0.4,0.4,185,34,30,42.7,2.96
46.8,8,3,31.5,9,3.27,0.4,0.4,185,34,60,39.7,2.64
46.8,8,3,31.5,13,2.77,0.4,0.4,185,34,50,34,2.39
46.8,8,7,31.5,5,3.34,0.4,0.4,185,34,30,49.4,3.08
46.8,8,7,31.5,9,3.27,0.4,0.4,185,34,60,49.7,3.39
46.8,8,7,31.5,13,2.77,0.4,0.4,185,34,50,43.6,3.11
46.8,8,14,31.5,5,3.34,0.4,0.4,185,34,30,51.9,3.41
46.8,8,14,31.5,9,3.27,0.4,0.4,185,34,60,51.4,3.45
46.8,8,14,31.5,13,2.77,0.4,0.4,185,34,50,43.8,3.45
46.8,8,28,31.5,5,3.34,0.4,0.4,185,34,30,52.9,3.67
46.8,8,28,31.5,9,3.27,0.4,0.4,185,34,60,61.7,3.52
46.8,8,28,31.5,13,2.77,0.4,0.4,185,34,50,57.7,3.75
46.8,8,42,31.5,5,3.34,0.4,0.4,185,34,30,64,3.94
46.8,8,42,31.5,9,3.27,0.4,0.4,185,34,60,62.5,3.81
46.8,8,42,31.5,13,2.77,0.4,0.4,185,34,50,60.6,3.79
46.8,8,56,31.5,5,3.34,0.4,0.4,185,34,30,65,3.97
46.8,8,56,31.5,9,3.27,0.4,0.4,185,34,60,64,4.03
46.8,8,56,31.5,13,2.77,0.4,0.4,185,34,50,61.2,3.99
46.8,8,84,31.5,5,3.34,0.4,0.4,185,34,30,66.9,4.02
46.8,8,84,31.5,9,3.27,0.4,0.4,185,34,60,64.6,4.42
46.8,8,84,31.5,13,2.77,0.4,0.4,185,34,50,63,4.35
46.8,8,118,31.5,5,3.34,0.4,0.4,185,34,30,67.3,4.37
46.8,8,118,31.5,9,3.27,0.4,0.4,185,34,60,65,4.47
46.8,8,118,31.5,13,2.77,0.4,0.4,185,34,50,64,4.03
46.8,8,178,31.5,5,3.34,0.4,0.4,185,34,30,68,4.68
46.8,8,178,31.5,9,3.27,0.4,0.4,185,34,60,69.6,4.33
46.8,8,178,31.5,13,2.77,0.4,0.4,185,34,50,67.8,3.99
46.8,8,238,31.5,5,3.34,0.4,0.4,185,34,30,73,4.55
46.8,8,238,31.5,9,3.27,0.4,0.4,185,34,60,71,4.02
46.8,8,238,31.5,13,2.77,0.4,0.4,185,34,50,68,4.05
46.8,8,298,31.5,5,3.34,0.4,0.4,185,34,30,74.1,4.59
46.8,8,298,31.5,9,3.27,0.4,0.4,185,34,60,77.9,4.11
46.8,8,298,31.5,13,2.77,0.4,0.4,185,34,50,70.6,4.18
46.8,8,358,31.5,5,3.34,0.4,0.4,185,34,30,74.6,4.51
46.8,8,358,31.5,9,3.27,0.4,0.4,185,34,60,78.2,4.24
46.8,8,358,31.5,13,2.77,0.4,0.4,185,34,50,73.1,4.34
38.2,6.9,28,25,3,3.19,0.47,0.47,190,36,22,47.1,2.95
38.2,6.9,28,25,5,3.19,0.47,0.47,190,36,16,40.7,3.16
38.2,6.9,28,25,7,3.19,0.47,0.47,190,36,28,44.3,3.44
38.2,6.9,28,25,10,3.19,0.47,0.47,190,36,11,45.9,3.57
38.2,6.9,28,25,13,3.19,0.47,0.47,190,36,17,43.4,3.6
38.2,6.9,28,25,16,3.19,0.47,0.47,190,36,12,44.3,3.58
47.7,8.7,28,25,3,3.19,0.32,0.32,170,30,20,69.6,4
